"","No","H_A","D1_A","D2_A","D1_P","D2_P","W_m_A","W_s_A","W_a_A","L_b_A","L_v_A","W_d_A","W_ia_A","W_r_A","W_L","W_A","W_m_L","S","FE","A","W_c_A","D12_P","H_A_L"
"73",73,50177.62261,79929,137745,0.909917807,1.568099542,169882.5229,22916.36101,3870.723856,23144.79858,157588.8288,0.00000001,0.00000001,0.00000001,4125.678298,196669.6078,2798.382836,0.000797315,7.138229333,377403.2351,196669.60779999,0.658181735,3
"74",74,43449.87452,32724,70992,0.396174334,0.859467312,134167.3038,7812.953023,5597.655233,18317.32075,150570.5279,763.611273,0.00000001,0.00000001,3453.29611,148341.5233,1829.008301,0.000196399,6.79200525,317229.3719,147577.912027,0.463292978,3
"75",75,32283.98953,46224,107172,0.556406182,1.290047667,157160.3262,0.00000001,4164.398426,19774.23269,168564.0916,477.57203,0.00000001,0.00000001,3077.810265,161802.2967,2289.032708,0.00032533,7.435515167,350140.621,161324.72467,0.733641485,2
"76",76,48332.55056,56844,130014,0.688517442,1.574781977,182173.9875,0.00000001,7020.527501,2617.145258,67577.14829,0.00000001,0.00000001,0.00000001,2981.085195,189194.515,2241.604626,0.000156211,7.696681333,259388.8086,189194.51499999,0.886264535,3
"77",77,51337.29652,100863,185517,0.93949273,1.728006036,229558.1326,0.00000001,995.807403,6874.984583,199361.2121,0.00000001,0.00000001,0.00000001,5154.0881,230553.94,5024.410446,0.000672296,6.748102625,436790.1367,230553.93999999,0.788513306,3
"78",78,36213.08025,60444,116163,0.750391061,1.442122905,192549.5171,0.00000001,0.00000001,11051.6425,96297.05978,0.00000001,0.00000001,0.00000001,4383.171596,192549.5171,4383.171596,0.000620568,7.248832167,299898.2194,192549.51709999,0.691731844,2
"79",79,27930.56601,19251,82521,0.588913702,2.524427177,171996.7691,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,2045.013212,171996.7691,2045.013212,0.0000854,7.00563875,171996.7691,171996.76909999,1.935513475,1
"80",80,39819.37693,26919,59292,0.380986753,0.839164402,134840.9805,0.00000001,11970.30299,15514.84206,95799.43886,368.88799,0.00000001,0.00000001,3091.946735,150869.7847,1903.333314,0.0000805,6.2234158,262184.0656,150500.89671,0.458177649,3
"81",81,22770.78267,77103,127971,0.746948384,1.239740758,114117.5556,0.00000001,12890.31682,27803.02605,203343.9078,0.00000001,0.00000001,0.00000001,4049.389823,163419.429,2146.4718,0.000386941,6.536755,394566.3629,163419.42899999,0.492792374,1
"82",82,26271.18699,30600,69714,0.661936489,1.508047071,110159.9009,0.00000001,0.00000001,5868.06851,101449.8082,0.00000001,0.00000001,0.00000001,2139.286526,110159.9009,2139.286526,0.000539052,5.52821125,217477.7776,110159.90089999,0.846110582,1
"83",83,32647.29401,32409,104238,0.388317757,1.248957584,119458.7967,0.00000001,2166.227075,3238.596784,83104.57841,0.00000001,1331.823648,0.00000001,2550.352486,122956.8474,1990.254417,0.000393701,5.74729125,209300.0226,122956.84739999,0.860639827,2
"84",84,60402.66355,45279,102726,0.680028235,1.542803076,138341.2667,0.00000001,1393.444615,3388.260856,149185.1887,547.785837,0.00000001,0.00000001,2698.323108,140282.4972,2401.028143,0.000382913,6.381296,292855.9467,139734.711363,0.862774841,3
"85",85,54436.89083,35766,90405,0.626155462,1.582720588,142837.0882,0.00000001,17827.5504,511.088656,54272.32992,0.00000001,0.00000001,0.00000001,2595.037693,160664.6386,1864.443062,0.000112721,6.6789305,215448.0572,160664.63859999,0.956565126,3
"86",86,30144.56852,24507,84492,0.296107003,1.020878643,129491.3778,0.00000001,35733.50189,0.00000001,181788.5154,0.00000001,0.00000001,0.00000001,4603.907328,165224.8797,2069.532474,0.000176044,7.557555,347013.3951,165224.87969999,0.72477164,2
"87",87,46056.54313,37710,118980,0.40472664,1.276965677,151683.9085,0.00000001,7125.681569,978.696199,134632.2532,801.892763,0.00000001,0.00000001,3558.315817,159611.4828,1981.567775,0.000369706,7.779141,295222.4323,158809.590037,0.872239037,3
"88",88,36385.20206,24192,88335,0.295438725,1.078769005,135467.06,0.00000001,5203.682272,1260.832643,82142.01703,0.00000001,0.00000001,0.00000001,2410.069133,140670.7423,1916.6235,0.000152631,9.0036265,224073.592,140670.74229999,0.78333028,2
"89",89,38809.07695,40878,109143,0.795214473,2.123198132,153390.212,0.00000001,0.00000001,370.778306,95717.05131,0.00000001,0.00000001,0.00000001,3469.360111,153390.212,3469.360111,0.000224879,9.243844,249478.0416,153390.21199999,1.327983659,3
"90",90,37718.57459,35019,86274,0.523954156,1.290831289,145021.4376,0.00000001,0.00000001,0.00000001,29936.16238,0.00000001,0.00000001,0.00000001,2475.602783,145021.4376,2475.602783,0.00019759,9.76891,174957.5999,145021.43759999,0.766877133,3
"91",91,39573.39076,22140,48807,0.555374389,1.224307036,125925.3382,0.00000001,0.00000001,0.00000001,11035.06269,0.00000001,0.00000001,0.00000001,2022.871618,125925.3382,2022.871618,0.0000668,8.33332775,136960.4009,125925.33819999,0.668932647,3
"92",92,30206.09,22896,42372,0.862567812,1.596292948,102010.9453,0.00000001,0.00000001,0.00000001,4184.024287,0.00000001,0.00000001,0.00000001,2031.102116,102010.9453,2031.102116,0.0000489,9.796963667,106194.9696,102010.94529999,0.733725136,2
"93",93,30768.43919,32319,69363,0.430506714,0.923953005,105114.1263,0.00000001,23750.36718,5391.695398,81558.43466,0.00000001,0.00000001,1174.121715,3018.789809,128864.4935,1831.074946,0.000311703,9.2515625,216988.7453,128864.49349999,0.493446291,2
"94",94,19066.53964,31851,80154,0.489277704,1.231282067,111250.9523,0.00000001,1690.702374,6138.698603,37190.00061,0.00000001,0.00000001,0.00000001,2237.858591,112941.6546,2088.788801,0.000466996,6.15801625,156270.3539,112941.65459999,0.742004363,1
"95",95,27964.66028,26424,73251,0.425507246,1.179565217,122401.6618,0.00000001,0.00000001,0.00000001,36720.51915,0.00000001,0.00000001,0.00000001,1991.764518,122401.6618,1991.764518,0.000167232,6.8078786,159122.181,122401.66179999,0.754057971,1
"96",96,24259.54077,49167,92916,0.766282749,1.448124308,131610.8582,0.00000001,0.00000001,2668.20228,53238.60948,0.00000001,0.00000001,0.00000001,2027.136026,131610.8582,2027.136026,0.00044484,6.744116,187517.67,131610.85819999,0.681841559,1
"97",97,32248.80452,17496,66690,0.249244971,0.950054134,141486.237,0.00000001,0.00000001,0.00000001,21164.27533,0.00000001,0.00000001,0.00000001,2226.793338,142094.5522,2076.953145,0.000137518,8.249262667,163258.8275,142094.55219999,0.700809163,2
"98",98,31955.31241,20079,88875,0.380630118,1.684770246,138430.7898,0.00000001,0.00000001,0.00000001,8611.931245,0.00000001,0.00000001,311.855336,2037.491252,138970.1914,1986.012753,0.000126043,7.506343,147893.978,138970.19139999,1.304140128,2
"99",99,13075.46147,66969,116361,1.932727273,3.358181818,133148.4738,0.00000001,4939.013666,9719.440942,12708.20671,0.00000001,0.00000001,0.00000001,2885.900565,145486.289,2246.619003,0.000374086,13.99288675,167913.9367,145486.28899999,1.425454545,1
"100",100,36563.93879,40122,105588,1.334730539,3.51257485,122419.7471,0.00000001,2848.099807,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,2526.608642,125267.8469,1993.389437,0.00046264,5.38328675,125267.8469,125267.84689999,2.177844311,2
"101",101,19337.6179,48627,114057,1.292274575,3.03109304,131995.0066,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,2038.407947,131995.0066,2038.407947,0.000466572,8.4268462,131995.0066,131995.00659999,1.738818465,1
"102",102,25845.75558,28701,76671,1.259920983,3.36571554,126778.5262,0.00000001,1569.284209,0.00000001,9788.113396,0.00000001,0.00000001,0.00000001,2326.241542,128347.8104,1988.562852,0.000227379,6.28156175,138135.9238,128347.81039999,2.105794557,1
"103",103,32700.27289,29385,57357,0.213389395,0.416517799,94446.37835,0.00000001,39753.45254,0.00000001,516857.5413,0.00000001,0.00000001,0.00000001,4980.430139,134199.8309,1984.405619,0.00010889,10.248524,651057.3721,134199.83089999,0.203128404,2
"104",104,30765.94127,65124,134316,0.367086039,0.757102273,148077.0756,0.00000001,26741.37627,6076.110106,574723.066,44672.1276,0.00000001,0.00000001,6056.673625,219490.5795,3093.250421,0.000866516,3.031115667,800289.7556,174818.4519,0.390016234,2
"105",105,28998.13252,27621,51336,0.219198629,0.407399471,98088.09546,0.00000001,9089.018723,22593.29229,255001.6749,80140.10261,301.014276,0.00000001,4872.915615,187618.2311,2256.830354,0.0001533,6.041015,465213.1982,107478.12849,0.188200842,1
